scenario_id,model,class,object,payload_source,should_block,l1_flag,l1_verdict,l3_flag,l3_code,flagged,outcome,agent_ms,l1_ms,l3_ms,detect_ms
SCEN-001,Qwen/Qwen2.5-1.5B-Instruct,Class 1a: Restricted Picklist,Account,agent,True,True,BLOCK,False,,True,TP,2056.6,0.0072,0.0,0.01
SCEN-002,Qwen/Qwen2.5-1.5B-Instruct,Class 1c: Misconfigured Picklist,Case,template_fallback,True,True,ESCALATE,False,,True,TP,394.3,0.0079,441.6,441.56
SCEN-003,Qwen/Qwen2.5-1.5B-Instruct,Class 1b: Unrestricted Picklist,Account,agent,True,True,ESCALATE,False,,True,TP,444.7,0.0079,340.9,340.95
SCEN-004,Qwen/Qwen2.5-1.5B-Instruct,Class 2: Locked Record,Opportunity,agent,True,False,,False,,False,FN,476.7,0.0045,281.2,281.19
SCEN-005,Qwen/Qwen2.5-1.5B-Instruct,Class 4: Missing Required Field,Lead,template,True,False,,True,REQUIRED_FIELD_MISSING,True,TP,0.0,0.0079,226.5,226.48
SCEN-006,Qwen/Qwen2.5-1.5B-Instruct,Class 5: Invalid Cross-Object,Account,template,True,True,BLOCK,False,,True,TP,0.0,0.005,0.0,0.01
SCEN-007,Qwen/Qwen2.5-1.5B-Instruct,Class 6: Validation Rule,Opportunity,agent,True,False,,True,FIELD_CUSTOM_VALIDATION_EXCEPTION,True,TP,659.9,0.0064,284.8,284.76
SCEN-008,Qwen/Qwen2.5-1.5B-Instruct,Class 8: Idempotency Violation,Contact,template,True,False,,True,DUPLICATES_DETECTED,True,TP,0.0,0.0067,275.2,275.21
SCEN-009,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Account,agent,False,True,BLOCK,False,,True,FP,784.8,0.005,0.0,0.01
SCEN-010,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Case,agent,False,False,,False,,False,TN,402.4,0.0064,866.4,866.36
SCEN-011,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Account,agent,False,True,BLOCK,False,,True,FP,396.3,0.0048,0.0,0.0
SCEN-012,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Text Update,Account,agent,False,False,,False,,False,TN,595.7,0.0052,264.8,264.84
SCEN-013,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Numeric,Opportunity,agent,False,False,,False,,False,TN,578.0,0.0052,284.7,284.67
SCEN-014,Qwen/Qwen2.5-1.5B-Instruct,Class 1a: Restricted Picklist,Account,agent,True,True,BLOCK,False,,True,TP,881.1,0.0045,0.0,0.0
SCEN-015,Qwen/Qwen2.5-1.5B-Instruct,Class 1c: Misconfigured Picklist,Case,template_fallback,True,True,ESCALATE,False,,True,TP,508.1,0.0067,347.1,347.15
SCEN-016,Qwen/Qwen2.5-1.5B-Instruct,Class 1b: Unrestricted Picklist,Account,agent,True,True,ESCALATE,False,,True,TP,481.6,0.0086,319.0,319.01
SCEN-017,Qwen/Qwen2.5-1.5B-Instruct,Class 2: Locked Record,Opportunity,agent,True,False,,False,,False,FN,488.4,0.0057,272.7,272.75
SCEN-018,Qwen/Qwen2.5-1.5B-Instruct,Class 4: Missing Required Field,Lead,template,True,False,,True,REQUIRED_FIELD_MISSING,True,TP,0.0,0.0052,258.1,258.11
SCEN-019,Qwen/Qwen2.5-1.5B-Instruct,Class 5: Invalid Cross-Object,Account,template,True,True,BLOCK,False,,True,TP,0.0,0.005,0.0,0.01
SCEN-020,Qwen/Qwen2.5-1.5B-Instruct,Class 6: Validation Rule,Opportunity,agent,True,False,,True,FIELD_CUSTOM_VALIDATION_EXCEPTION,True,TP,539.3,0.0057,280.7,280.74
SCEN-021,Qwen/Qwen2.5-1.5B-Instruct,Class 8: Idempotency Violation,Contact,template,True,False,,True,DUPLICATES_DETECTED,True,TP,0.0,0.0062,266.4,266.43
SCEN-022,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Account,agent,False,True,BLOCK,False,,True,FP,536.3,0.0043,0.0,0.0
SCEN-023,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Case,agent,False,False,,False,,False,TN,406.4,0.0067,366.8,366.81
SCEN-024,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Picklist,Account,agent,False,False,,False,,False,TN,480.0,0.0057,284.4,284.41
SCEN-025,Qwen/Qwen2.5-1.5B-Instruct,Benign: Valid Text Update,Account,agent,False,False,,False,,False,TN,615.3,0.0057,540.5,540.5
